+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|               199 |  5 |   WAITING |     READY |
|               199 | 10 |   WAITING |     READY |
|               199 |  5 |     READY |   RUNNING |
|               200 |  5 |   RUNNING |   WAITING |
|               200 | 10 |     READY |   RUNNING |
|               201 | 10 |   RUNNING |   WAITING |
|               203 |  5 |   WAITING |     READY |
|               203 | 10 |   WAITING |     READY |
|               203 |  5 |     READY |   RUNNING |
|               204 |  5 |   RUNNING |   WAITING |
|               204 | 10 |     READY |   RUNNING |
|               205 | 10 |   RUNNING |TERMINATED |
|               207 |  5 |   WAITING |     READY |
|               207 |  5 |     READY |   RUNNING |
|               208 |  5 |   RUNNING |   WAITING |
|               211 |  5 |   WAITING |     READY |
|               211 |  5 |     READY |   RUNNING |
|               212 |  5 |   RUNNING |   WAITING |
|               215 |  5 |   WAITING |     READY |
|               215 |  5 |     READY |   RUNNING |
|               216 |  5 |   RUNNING |   WAITING |
|               219 |  5 |   WAITING |     READY |
|               219 |  5 |     READY |   RUNNING |
|               220 |  5 |   RUNNING |   WAITING |
|               223 |  5 |   WAITING |     READY |
|               223 |  5 |     READY |   RUNNING |
|               224 |  5 |   RUNNING |   WAITING |
|               227 |  5 |   WAITING |     READY |
|               227 |  5 |     READY |   RUNNING |
|               228 |  5 |   RUNNING |   WAITING |
|               231 |  5 |   WAITING |     READY |
|               231 |  5 |     READY |   RUNNING |
|               232 |  5 |   RUNNING |   WAITING |
|               235 |  5 |   WAITING |     READY |
|               235 |  5 |     READY |   RUNNING |
|               236 |  5 |   RUNNING |   WAITING |
|               239 |  5 |   WAITING |     READY |
|               239 |  5 |     READY |   RUNNING |
|               240 |  5 |   RUNNING |   WAITING |
|               243 |  5 |   WAITING |     READY |
|               243 |  5 |     READY |   RUNNING |
|               244 |  5 |   RUNNING |   WAITING |
|               247 |  5 |   WAITING |     READY |
|               247 |  5 |     READY |   RUNNING |
|               248 |  5 |   RUNNING |   WAITING |
|               251 |  5 |   WAITING |     READY |
|               251 |  5 |     READY |   RUNNING |
|               252 |  5 |   RUNNING |   WAITING |
|               255 |  5 |   WAITING |     READY |
|               255 |  5 |     READY |   RUNNING |
|               256 |  5 |   RUNNING |   WAITING |
|               259 |  5 |   WAITING |     READY |
|               259 |  5 |     READY |   RUNNING |
|               260 |  5 |   RUNNING |TERMINATED |
+------------------------------------------------+
